"Model","RMSE","MAE","MAPE","R2","Evaluation"
"Negative Binomial GLM",2340.11796801912,1573.80778874982,21.5276624764968,0.853997524649473,"In-sample"
"GAM P-Spline",705.241831529863,525.429768302693,8.71201822560615,0.98673947111948,"In-sample"
"MARS",759.235577367597,634.188919891561,11.4807711655451,0.98463127577011,"In-sample"
