"nk","degree","minspan","RMSE","MAE","R2"
20,1,0,1350.10846254782,1058.47933067523,0.951401592826679
30,1,0,1350.10846254782,1058.47933067523,0.951401592826679
40,1,0,1350.10846254782,1058.47933067523,0.951401592826679
20,2,0,852.697238445123,688.63540122502,0.980614615055583
30,2,0,852.697238445123,688.63540122502,0.980614615055583
40,2,0,852.697238445123,688.63540122502,0.980614615055583
20,1,1,1026.73305997688,834.722096690267,0.97189395036905
30,1,1,1026.73305997688,834.722096690267,0.97189395036905
40,1,1,1026.73305997688,834.722096690267,0.97189395036905
20,2,1,759.235577367597,634.188919891561,0.98463127577011
30,2,1,759.235577367597,634.188919891561,0.98463127577011
40,2,1,759.235577367597,634.188919891561,0.98463127577011
20,1,2,954.321354600822,761.671172081479,0.97571858450449
30,1,2,954.321354600822,761.671172081479,0.97571858450449
40,1,2,954.321354600822,761.671172081479,0.97571858450449
20,2,2,954.321354600822,761.671172081479,0.97571858450449
30,2,2,954.321354600822,761.671172081479,0.97571858450449
40,2,2,954.321354600822,761.671172081479,0.97571858450449
20,1,3,1136.65724991502,934.60116740229,0.965553605654296
30,1,3,1136.65724991502,934.60116740229,0.965553605654296
40,1,3,1136.65724991502,934.60116740229,0.965553605654296
20,2,3,730.221071671534,519.56262407058,0.98578347547616
30,2,3,730.221071671534,519.56262407058,0.98578347547616
40,2,3,730.221071671534,519.56262407058,0.98578347547616
